# Tranco list_id V3JQN, created_on 2026-08-01T22:00:02Z, 30-day dowdall over crux+farsight+majestic+radar+umbrella
# source: https://tranco-list.eu/download/V3JQN/1000000  (sha256 of the fetched CSV recorded in docs/step0c-hb-ru-market-study-2026-08-18.md)
# RULE: every registrable domain in the top 50000 whose TLD is .ru / .su / .xn--p1ai. Nothing hand-picked, nothing removed.
# This is the UNIVERSE, not the frame. The frame is this file filtered by the probe in the same doc; both the kept and the dropped are published.
rank	domain
11907	is74.ru
11922	rfn.ru
11926	rttv.ru
11930	action-media.ru
11944	galaxycloud.ru
11991	crptech.ru
11995	adrtun.ru
11996	komus.ru
12067	dtf.ru
12076	mid.ru
12165	123tor.ru
12196	t1-cloud.ru
12226	1c-bitrix.ru
12233	bitmaster.ru
12251	detmir.ru
12302	stoloto.ru
12311	1cupis.ru
12366	myoffice.ru
12394	happ.su
12397	loveplanet.ru
12425	tmn141246.ru
12473	webinar.ru
12530	isimple.ru
12574	attachmail.ru
12609	cloudpayments.ru
12621	imchip.ru
12639	trueconf.ru
12721	sudrf.ru
12736	icmp0.ru
12797	ligastavok.ru
12864	yandex-net.ru
12867	hexawall.ru
13034	valuehost.ru
13044	kill-bot.ru
13061	iql.ru
13091	mastername.ru
13104	huaweicloud-dns.ru
13130	government.ru
13145	justhost.ru
13155	mirconnect.ru
13199	123rutor.su
13216	radikal.ru
13227	psbank.ru
13228	lemanapro.ru
13235	zr.ru
13240	vesti.ru
13245	storeland.ru
13246	ati.su
13336	webim.ru
13347	inn.ru
13360	mkb.ru
13364	blogspot.ru
13411	bcs.ru
13426	5-tv.ru
13444	academic.ru
13448	betboom.ru
13483	domenus.ru
13493	topwar.ru
13497	vz.ru
13524	samoletplus.ru
13547	aerdns.ru
13562	hr-link.ru
13597	sima-land.ru
13708	trace-flow.ru
13762	kwork.ru
13780	espritgames.ru
13865	woman.ru
13901	batmanapollo.ru
13904	permkrai.ru
13925	spd-mgts.ru
13938	mirapolis.ru
14008	samregion.ru
14013	librepelota.su
14061	cnews.ru
14117	onthestage.ru
14136	ibaldr.ru
14216	mtsbank.ru
14239	bank-hlynov.ru
14289	mcn.ru
14294	gu-st.ru
14295	asna.ru
14303	skyeng.ru
14342	taxcom.ru
14349	adservings.ru
14383	vniiftri.ru
14411	redspell.ru
14435	ecnl.ru
14446	normbot.ru
14448	dontworry.su
14482	volganet.ru
14484	foxkitcloud.ru
14502	trudvsem.ru
14506	roszdravnadzor.ru
14528	rigla.ru
14541	barbars.ru
